Positive,Variant name,Database dependency,Description
True,XssDashboardPhp10MinA,users.username,See test XssDashboardPhp10Min.java
False,XssFetchBrandPhp1MinA,brands.brand_id,Column datatype cannot contain XSS payload
True,XssFetchBrandPhp1MinB,brands.brand_name,See test XssFetchBrandPhp1Min.java
False,XssFetchCategoriesPhp1MinA,categories.categories_id,Column datatype cannot contain XSS payload
True,XssFetchCategoriesPhp1MinB,categories.categories_name,See test XssFetchCategoriesPhp1Min.java
False,XssFetchOrderDataPhp1MinA,orders.order_id,Column datatype cannot contain XSS payload
False,XssFetchOrderDataPhp1MinB,orders.order_date,Column datatype cannot contain XSS payload
True,XssFetchOrderDataPhp1MinC,orders.client_name,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinD,orders.client_contact,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinE,orders.sub_total,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinF,orders.vat,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinG,orders.total_amount,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinH,orders.discount,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinI,orders.grand_total,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinJ,orders.paid,See test XssFetchOrderDataPhp1Min.java
True,XssFetchOrderDataPhp1MinK,orders.due,See test XssFetchOrderDataPhp1Min.java
False,XssFetchOrderDataPhp1MinL,orders.payment_type,Column datatype cannot contain XSS payload
False,XssFetchOrderDataPhp1MinM,orders.payment_status,Column datatype cannot contain XSS payload
False,XssFetchOrderPhp1MinA,orders.order_id,Column datatype cannot contain XSS payload
False,XssFetchOrderPhp1MinB,orders.order_date,Column datatype cannot contain XSS payload
True,XssFetchOrderPhp1MinC,orders.client_name,See test XssFetchOrderPhp1Min.java
True,XssFetchOrderPhp1MinD,orders.client_contact,See test XssFetchOrderPhp1Min.java
